location,fire_alarms,entrapments
KACEK HALL – 3101 S WABASH,8,7
CARMEN HALL – 60 E 32ND,2,4
MCCORMICK STUDENT VILLAGE – 3241 S WABASH,5,0
ENGINEERING RESEARCH – 55 W 34TH,5,0
CUNNINGHAM HALL – 3100 S MICHIGAN,3,1
ASP – 3361 S WABASH,4,0
TECHNOLOGY PARK – 3340 S DEARBORN,3,0
TRI – 3360 S MICHIGAN,2,0
MSV – GRADUATE,2,0
PKS – 3366 S MICHIGAN,2,0
LIFE SCIENCE RESEARCH – 35 W 34^{TH},1,0
SIEGEL HALL- 3301 S DEARBORN,1,0
VANDERCOOK 2 – 3125 S FEDERAL,0,1
CROWN HALL – 3360 S STATE,1,0
LIFE SCIENCE RESEARCH – 35 W 34TH,1,0
MSV – EAST,1,0
KACEK HALL – 3101 S. WABASH,1,0
MOFFETT CAMPUS – 6502 S ARCHER,0,1
FRATERNITY/SORORITY ASA – 3340 S MICHIGAN,1,0
RICE CAMPUS – 201 E LOOP,1,0
SIEGEL HALL – 3301 S DEARBORN,1,0
DTD – 3349 S WABASH,1,0
GUNSAULUS HALL – 3140 S. MICHIGAN,1,0
HERMAN HALL – 3241 S FEDERAL,0,0
GALVIN LIBRARY – 35 W 33RD,0,0
STUART BUILDING – 10 W 31ST,0,0
RETTALIATA ENGINEERING – 10 W 32ND,0,0
OFF CAMPUS LOCATION,0,0
MIES CAMPUS,0,0
MACHINERY HALL – 100 W 33RD,0,0
MSV – LEWIS,0,0
HERMANN HALL – 3241 S FEDERAL,0,0
RV NORTH – 3303 S STATE,0,0
KAPLAN INSTITUTE – 3137 S FEDERAL ST,0,0
MCCORMICk TRIBUNE CAMPUS CENTER – 3201 S STATE,0,0
A4 LOT – 3200 S STATE,0,0
ROWE VILLAGE,0,0
RV NORTH- 3303 S STATE,0,0
GUNSAULUS HALL – 3140 S MICHIGAN,0,0
ZONE 5,0,0
3400-3500 SOUTH,0,0
60-150 FEDERAL TO LASALLE,0,0
CONVISER LAW CENTER – 565 W ADAMS,0,0
SOCCER FIELD – 31ST & FEDERAL,0,0
PKP – 3333 S WABASH,0,0
35TH STREET,0,0
ZONE 4,0,0
GLANCEY FIELD,0,0
3410 S STATE,0,0
D5 LOT – 3420 S STATE,0,0
SIEGEL HALL 3301 S DEARBORN,0,0
A5 LOT – 3141 S MICHIGAN,0,0
ZONE 3,0,0
1-45 STATE TO WABASH,0,0
C5 LOT – 3410 S 34TH,0,0
3424 S STATE,0,0
KEATINGSPORTS CENTER – 3040 S WABASH,0,0
ACADEMIC/ADMINISTRATIVE BUILDINGS,0,0
OFF CAMPUS,0,0
D2 LOT – 3350 S WABASH,0,0
B5 LOT – 3241 S FEDERAL,0,0
MCCORMICK TRIBUNE CAMPUS CENTER – 3201 S STATE,0,0
PERLSTEIN HALL – 10 W 33RD,0,0
B4 LOT – 3140 S FEDERAL FIRE LANE,0,0
KEATING SPORTS CENTER – 3040 S WABASH,0,0
A6 LOT – 3300 S WABASH,0,0
33RD STREET,0,0
B3 LOT – 3140 S FEDERAL,0,0
GALVIN TOWER – 10 W 35TH,0,0
RV SOUTH – 3353 S STATE,0,0
RV MIDDLE – 3333 S STATE,0,0
WABASH,0,0
3100-3200 SOUTH,0,0
VANDERCOOK – 3140 S FEDERAL,0,0
D1 LOT – 3366 S WABASH,0,0
A2 LOT – 3040 S WABASH,0,0
3300-3400 SOUTH,0,0
B2 LOT – 3100 S FEDERAL,0,0
A3 LOT – 3100 S WABASH,0,0
PRITZKER SCIENCE CENTER- 3105 S. DEARBORN,0,0
KAPPA – 3330 S MICHIGAN,0,0
MSV – FOWLER,0,0
